threshold,precision,recall,f1,tp,fp,fn
0.7486486486486487,0.8048225659690628,0.4849232456140351,0.6052001368457064,1769,429,1879
0.7495495495495496,0.8039305301645339,0.48218201754385964,0.6028101439342015,1759,429,1889
0.7504504504504504,0.8034814475492441,0.48081140350877194,0.6016120734007889,1754,429,1894
0.7513513513513513,0.8040478380864765,0.4791666666666667,0.6004809343868087,1748,426,1900
0.7522522522522522,0.8036866359447005,0.4780701754385965,0.5995187349604676,1744,426,1904
0.7531531531531531,0.8044382801664355,0.4769736842105263,0.5988642230252968,1740,423,1908
0.754054054054054,0.8057487250811312,0.4764254385964912,0.5987941429801894,1738,419,1910
0.7549549549549549,0.8068869241507678,0.4753289473684211,0.5982404692082112,1734,415,1914
0.7558558558558558,0.807638565440149,0.4753289473684211,0.5984469370146678,1734,413,1914
0.7567567567567568,0.8081232492997199,0.4745065789473684,0.5979274611398965,1731,411,1917
0.7576576576576577,0.8086102012166588,0.47368421052631576,0.5974070872947277,1728,409,1920
0.7585585585585586,0.8086303939962477,0.4725877192982456,0.5965397923875433,1724,408,1924
0.7594594594594595,0.8091208274565115,0.47176535087719296,0.596017316017316,1721,406,1927
0.7603603603603604,0.809322033898305,0.4712171052631579,0.5956340956340956,1719,405,1929
0.7612612612612613,0.8098159509202454,0.47039473684210525,0.5951101092422403,1716,403,1932
0.7621621621621621,0.8106956933270232,0.46957236842105265,0.5946884221489325,1713,400,1935
0.763063063063063,0.8109263657957244,0.46792763157894735,0.5934295150356336,1707,398,1941
0.7639639639639639,0.8115183246073299,0.4673793859649123,0.5931466341972517,1705,396,1943
0.7648648648648648,0.8121125417262757,0.4668311403508772,0.592863359442994,1703,394,1945
0.7657657657657657,0.8126497364638237,0.4649122807017544,0.5914559721011334,1696,391,1952
0.7666666666666666,0.8126801152737753,0.46381578947368424,0.5905759162303665,1692,390,1956
0.7675675675675676,0.8126801152737753,0.46381578947368424,0.5905759162303665,1692,390,1956
0.7684684684684685,0.8125,0.46326754385964913,0.5900837988826815,1690,390,1958
0.7693693693693694,0.814278822961891,0.46271929824561403,0.5901066247159589,1688,385,1960
0.7702702702702703,0.8141678796700631,0.45997807017543857,0.5878437554738133,1678,383,1970
0.7711711711711712,0.8142023346303502,0.4588815789473684,0.5869565217391305,1674,382,1974
0.7720720720720721,0.8141463414634146,0.4575109649122807,0.5858195858195858,1669,381,1979
